"x"
"1"	0.893
"2"	0.806
"3"	0.865
"4"	0.608
"5"	0.873
"6"	0.753
"7"	0.685
"8"	0.943
"9"	0.764
"10"	0.89
"11"	0.717
"12"	0.73
"13"	0.728
"14"	0.848
"15"	0.816
"16"	0.872
"17"	0.866
"18"	0.797
"19"	0.897
"20"	0.678
"21"	0.697
"22"	0.664
"23"	0.775
"24"	0.648
"25"	0.915
"26"	0.73
"27"	0.812
"28"	0.782
"29"	0.735
"30"	0.656
"31"	0.843
"32"	0.749
"33"	0.702
"34"	0.807
"35"	0.812
"36"	0.943
"37"	0.814
"38"	0.73
"39"	0.764
"40"	0.704
"41"	0.819
"42"	0.966
"43"	0.759
"44"	0.88
"45"	0.867
"46"	0.728
"47"	0.724
"48"	0.755
"49"	0.771
"50"	0.875
"51"	0.817
"52"	1.035
"53"	0.768
"54"	0.751
"55"	0.747
"56"	0.851
"57"	0.89
"58"	0.908
"59"	0.86
"60"	0.641
"61"	0.829
"62"	0.859
"63"	0.899
"64"	0.843
"65"	0.821
"66"	0.765
"67"	0.821
"68"	0.757
"69"	0.776
"70"	0.912
"71"	0.902
"72"	0.835
"73"	1.019
"74"	1.017
"75"	0.907
"76"	0.814
"77"	1.024
"78"	1.015
"79"	0.952
"80"	0.918
"81"	0.818
"82"	0.83
"83"	0.773
"84"	0.909
"85"	0.823
"86"	0.765
"87"	0.918
"88"	0.834
"89"	0.784
"90"	0.755
"91"	0.868
"92"	0.89
"93"	0.903
"94"	0.738
"95"	0.822
"96"	0.896
"97"	0.917
"98"	0.928
"99"	0.875
"100"	0.911
