"HL"	"HC1"	"HC2"	"dc"	"LC1"	"LC2"	"id"
"1"	-53.5449238777924	74.4530539806536	114.013764945754	16.2815679295385	123.329474195209	86.5866229309514	"1"
"2"	-53.1711703655047	70.7498639450929	116.574985575625	16.6331088502127	123.006964714211	84.4586188708853	"2"
"3"	-49.9581341963243	74.5812751823293	114.152683238709	16.8021923509527	122.434266995601	90.0339879401633	"3"
"4"	-55.2865155705233	72.5192452536694	115.857137685499	16.5687680456152	123.81838910257	84.5864693839207	"4"
"5"	-59.5938809059599	70.9996757313866	113.303387951428	16.682942952663	122.844289208493	84.8325204135555	"5"
"6"	-51.3403020724877	73.9950545977309	116.820945951332	16.6162951082225	122.246268949496	87.2833177232402	"6"
"7"	-51.377410012479	74.3383024660821	115.854292110616	16.1460972752156	121.011395072133	85.4484605385742	"7"
"8"	-45.9630173509563	73.9860197291151	114.332384826786	16.6621328784323	121.395145322384	89.3939962849259	"8"
"9"	-52.8312227655855	73.9340030291457	114.929325358731	16.3090080557881	121.752142431112	85.3292916451623	"9"
"10"	-56.4465058529182	73.5653912514563	116.805335639392	16.2484077494974	123.925014734166	83.8881055438449	"10"
"11"	-53.088874133634	74.4123381522054	115.039878346251	16.5427151185415	121.694896671265	86.6057544245822	"11"
"12"	-55.6127981873219	73.4666766147418	114.712317167011	16.6185117969744	124.370434895473	85.9390417984986	"12"
"13"	-62.6876888727457	75.4609471828915	113.15681709103	16.1847346916642	120.116152055962	83.8284726427034	"13"
"14"	-60.0804682680793	73.7291578194415	114.424124014962	16.2707572079132	126.359543146998	83.1024357938222	"14"
"15"	-58.8250917114985	72.3384940888152	112.934360899168	16.4072837191543	121.990560015568	81.9792041943055	"15"
"16"	-62.5323056619471	73.7680899461013	114.024888371827	16.5755018249953	122.235053168734	83.6910202735917	"16"
"17"	-54.4653150772656	69.1623483908927	116.412570855737	16.7608971820623	123.50011978127	87.1788775005672	"17"
"18"	-59.0453537374104	69.6357722286508	115.75672661095	16.798225121138	120.483617983802	83.9448548296408	"18"
"19"	-61.6609728048482	73.3717311448182	113.066838436758	16.1571886226869	122.405833488897	83.5402500280307	"19"
"20"	-62.6540687690439	74.7797157288106	113.64004046733	16.0965814716996	121.224255361851	86.5788360358733	"20"
"21"	-60.7348094469229	73.7984781733597	117.637875134551	16.3339573599501	119.686518350089	84.2608972827212	"21"
"22"	-59.5552113637819	74.6600082460776	115.339844423788	16.3783289620563	120.124272270496	82.7654366435401	"22"
"23"	-65.3685955152441	73.9470463265166	114.178132568626	16.0961718252422	119.361195528171	81.5792426063362	"23"
"24"	-58.1714897671413	74.0803688948409	116.244703180813	16.2471738333433	123.23395892364	83.5484591774202	"24"
"25"	-59.639244209582	73.7292215140639	115.919855434562	16.1873077188182	120.453134711747	83.1608039941935	"25"
"26"	-56.7569699071113	71.9848418572794	117.210215533282	17.1338907324766	122.737033485817	86.7470661837554	"26"
"27"	-53.7590992065195	71.6826696300485	114.908105052754	17.0595035575256	124.508716491675	85.7941588962592	"27"
"28"	-56.9835396039946	73.3975641219247	116.486380213836	16.7509741814359	121.509554871311	86.2830628671185	"28"
"29"	-57.1554921863355	71.9980923230225	116.440010533054	17.1393864680872	122.371656494182	86.1223870275012	"29"
"30"	-59.3255045630602	74.3753301371	116.288855160449	16.3920194067158	121.496037043025	83.9000145189222	"30"
"31"	-59.4167557376506	72.917738865017	116.095611259316	16.5620885457131	121.274979386147	85.4394728749989	"31"
"32"	-57.3614711416477	74.8380447684969	115.502396481403	16.2074914048017	120.529280573993	84.4210388448286	"32"
"33"	-60.025676509737	74.9074362823662	118.614195750542	16.3010410994854	119.676962812831	83.9613701623331	"33"
"34"	-59.7325128677265	73.2713795701016	117.900491517816	16.3818242928528	122.075391799132	83.0527143981584	"34"
"35"	-59.7941309971733	72.4827254361929	115.665014741283	16.6754234952189	120.815080642772	83.8028268232222	"35"
"36"	-60.5836426295249	69.9953594839755	114.770450130091	16.5505546162088	121.45430728487	81.9462556969157	"36"
"37"	-56.7964004547856	73.2962058537912	119.52402237933	16.8220060359816	118.743419579765	85.8607225970582	"37"
"38"	-60.0019667370396	74.7802271876284	115.349045040513	16.2713641926694	119.345859263723	81.5621946524847	"38"
"39"	-54.9451507925057	73.5502622306321	117.589721598859	16.8273841628682	121.149200708051	87.2275094954151	"39"
"40"	-60.168519956284	73.3968215944636	116.404145075271	16.1189396779726	121.604408909358	83.7904601855396	"40"
"41"	-62.1197691323394	75.1286607063751	116.257223522026	16.6530329006249	120.839088904829	85.1163377884788	"41"
"42"	-61.0884318548463	71.7050560028024	114.621127990308	16.7019060419419	123.022303302363	85.5797623489828	"42"
"43"	-62.2924353630013	74.8098346026453	112.674475558823	16.7620210419636	120.953270235174	84.8569886783124	"43"
"44"	-61.4711871645117	72.0857066087465	115.467399985364	16.5782539462682	122.811307254023	84.9566488581363	"44"
"45"	-56.6858109261642	75.474662258639	118.6138191235	16.5777564444184	124.662765302361	84.634141097597	"45"
"46"	-58.6881603556961	73.2887900892084	115.656187675452	16.8485792739093	123.084712961236	85.9479656109982	"46"
"47"	-58.1323724155223	73.8312488461528	115.758880522169	16.4963529249102	121.855757530565	83.5636767944793	"47"
"48"	-59.3769222333986	74.481619596435	115.433064553239	16.2768773061208	124.745921154841	86.6458844091897	"48"
"49"	-60.851667015827	73.7116248958708	115.587858064573	16.7086871748613	120.39120928315	82.4744570085349	"49"
"50"	-59.2563746885466	70.8520601928446	114.761375242291	16.8281694495692	125.368092554103	83.2794449219551	"50"
