"x"
"1"	1.197
"2"	0.896
"3"	1.132
"4"	1.35
"5"	1.324
"6"	0.903
"7"	1.054
"8"	1.067
"9"	0.989
"10"	1.102
"11"	1.254
"12"	1.32
"13"	1.337
"14"	1.435
"15"	1.354
"16"	1.225
"17"	1.275
"18"	0.866
"19"	0.881
"20"	0.942
"21"	1.056
"22"	1.035
"23"	1.046
"24"	0.979
"25"	1.094
"26"	1.071
"27"	1.293
"28"	1.161
"29"	1.085
"30"	1.171
"31"	1.385
"32"	1.231
"33"	1.283
"34"	1.329
"35"	1.522
"36"	1.221
"37"	1.365
"38"	1.338
"39"	1.114
"40"	1.249
"41"	1.383
"42"	1.473
"43"	1.505
"44"	1.583
"45"	1.319
"46"	1.245
"47"	1.567
"48"	1.373
"49"	1.137
"50"	1.18
"51"	1.572
"52"	1.241
"53"	1.153
"54"	1.253
"55"	1.547
"56"	1.351
"57"	1.358
"58"	1.365
"59"	1.357
"60"	1.515
"61"	1.116
"62"	1.168
"63"	1.394
"64"	1.66
"65"	1.615
"66"	1.604
"67"	1.538
"68"	1.43
"69"	1.356
"70"	1.41
"71"	1.678
"72"	1.445
"73"	1.319
"74"	1.559
"75"	1.291
"76"	1.365
"77"	1.491
"78"	1.289
"79"	1.762
"80"	1.606
"81"	1.435
"82"	1.257
"83"	1.271
"84"	1.301
"85"	1.36
"86"	1.396
"87"	1.373
"88"	1.171
"89"	1.263
"90"	1.322
"91"	1.472
"92"	1.561
"93"	1.389
"94"	1.785
"95"	1.436
"96"	1.429
"97"	1.521
"98"	1.495
"99"	1.763
"100"	1.394
